iter	Precision	Logloss
0	0.8835616438	0.6858885067
5	0.8788546256	0.6519547749
10	0.8769230769	0.624128155
15	0.8730853392	0.5950605
20	0.8827433628	0.570263145
25	0.8886414254	0.5471580041
30	0.8847006652	0.5248920275
35	0.8926174497	0.5041208316
40	0.8986486486	0.4869551943
45	0.8986486486	0.471179506
50	0.8986486486	0.4541600746
55	0.8986486486	0.4402758656
60	0.9006772009	0.4272448463
65	0.9006772009	0.4149226053
70	0.8986486486	0.4040851249
75	0.8986486486	0.3949132745
80	0.8986486486	0.3854200786
85	0.9006772009	0.3756069054
90	0.9027149321	0.3666464051
95	0.9027149321	0.3578523536
100	0.9027149321	0.3500653273
105	0.9068181818	0.3432209329
110	0.9068181818	0.3370331338
115	0.9088838269	0.3292617901
120	0.9130434783	0.3222250906
125	0.9151376147	0.3163292608
130	0.9130434783	0.3109676884
135	0.9172413793	0.3060832076
140	0.9172413793	0.3015806328
145	0.9172413793	0.2969614705
150	0.9172413793	0.2916647667
155	0.9172413793	0.2864603752
160	0.9193548387	0.2819655587
165	0.92147806	0.2773059381
170	0.9257540603	0.2730093262
175	0.9279069767	0.2693060529
180	0.9279069767	0.264984502
185	0.9279069767	0.2609506583
190	0.9300699301	0.2576762515
195	0.9322429907	0.2539008327
200	0.9322429907	0.2503643
205	0.9344262295	0.247244412
210	0.9344262295	0.2446464671
215	0.9344262295	0.2414118779
220	0.9344262295	0.2388582284
225	0.9344262295	0.236285304
230	0.9344262295	0.2333906323
235	0.9344262295	0.2307861568
240	0.9344262295	0.2282731365
245	0.9344262295	0.2259504959
250	0.9388235294	0.2229454534
255	0.9388235294	0.2206975057
260	0.9388235294	0.2180773984
265	0.9410377358	0.2156714941
270	0.9410377358	0.2135406131
275	0.9410377358	0.2117207972
280	0.9410377358	0.2096518726
285	0.9410377358	0.2074527613
290	0.9410377358	0.2052087347
295	0.9432624113	0.203009827
300	0.9432624113	0.2009350834
305	0.9432624113	0.1990529948
310	0.9432624113	0.1972727963
315	0.9432624113	0.195551809
320	0.9454976303	0.1936267103
325	0.9477434679	0.1918177241
330	0.95	0.1900031874
335	0.95	0.1882517755
340	0.95	0.1864091051
345	0.9522673031	0.1846298542
350	0.9522673031	0.1831318764
355	0.9522673031	0.1813614379
360	0.9522673031	0.1796086415
365	0.9522673031	0.1781444042
370	0.9522673031	0.1764407605
375	0.9522673031	0.1749714218
380	0.9545454545	0.17338277
385	0.9568345324	0.1719136903
390	0.9568345324	0.1703049884
395	0.9591346154	0.1690282384
400	0.9591346154	0.1677042805
405	0.9591346154	0.1663094101
410	0.9591346154	0.164756301
415	0.9591346154	0.1635572136
420	0.9591346154	0.1623065209
425	0.9614457831	0.160849744
430	0.9614457831	0.1594445566
435	0.9637681159	0.1581696303
440	0.9661016949	0.1569213723
445	0.9661016949	0.1557523502
450	0.9661016949	0.1545057259
455	0.9661016949	0.1533313735
460	0.9661016949	0.1521143871
465	0.9661016949	0.1511359543
470	0.9661016949	0.149925238
475	0.9661016949	0.1487385126
480	0.9661016949	0.1474354606
485	0.9661016949	0.146145687
490	0.9661016949	0.1449281144
495	0.9661016949	0.1437645679
500	0.9661016949	0.142650596
505	0.9661016949	0.1415177136
510	0.9684466019	0.1403448835
515	0.9684466019	0.1392759436
520	0.9684466019	0.1382576646
525	0.9708029197	0.137221576
530	0.9708029197	0.1362098822
535	0.9708029197	0.1351688037
540	0.9708029197	0.1341952744
545	0.9708029197	0.1332589904
550	0.9731707317	0.1322714262
555	0.9731707317	0.1312249679
560	0.9731707317	0.1302577078
565	0.9731707317	0.1291998991
570	0.9731707317	0.1283016411
575	0.9731707317	0.1273691981
580	0.9731707317	0.126434336
585	0.9731707317	0.1255151563
590	0.9731707317	0.1246109546
595	0.9731707317	0.1236647244
600	0.9731707317	0.1227431956
605	0.9731707317	0.1218978828
610	0.9731707317	0.1209971454
615	0.9731707317	0.1201395951
620	0.9755501222	0.1192789444
625	0.9755501222	0.1183959896
630	0.9755501222	0.1174899144
635	0.9755501222	0.1165961655
640	0.9755501222	0.1157158739
645	0.9779411765	0.1149092545
650	0.9779411765	0.1141152909
655	0.9803439803	0.1132769117
660	0.9803439803	0.1124683237
665	0.9827586207	0.1116876913
670	0.9827586207	0.110936288
675	0.9827586207	0.1102416643
680	0.9827586207	0.1094964796
685	0.9827586207	0.1087359576
690	0.9827586207	0.1079423721
695	0.9827586207	0.1071723592
700	0.9827586207	0.1064165545
705	0.9827586207	0.1057028644
710	0.9827586207	0.1049963086
715	0.9827586207	0.1042844775
720	0.9827586207	0.1034770447
725	0.9827586207	0.1028650714
730	0.9827586207	0.1022368732
735	0.9827586207	0.1014783197
740	0.9851851852	0.1008820712
745	0.9851851852	0.1001906887
750	0.9851851852	0.09963431028
755	0.9851851852	0.09894618086
760	0.9851851852	0.09829699183
765	0.9851851852	0.09766612188
770	0.9851851852	0.09704019364
775	0.9851851852	0.09641329753
780	0.9851851852	0.09579112424
785	0.9851851852	0.09517353137
790	0.9876237624	0.09458315698
795	0.9876237624	0.09394149892
800	0.9876237624	0.09329602929
805	0.9876237624	0.09273272009
810	0.9876237624	0.09217842046
815	0.9876237624	0.09162978498
820	0.9876237624	0.09106461942
825	0.9876237624	0.0904684305
830	0.9876237624	0.08994877781
835	0.9876237624	0.08943339239
840	0.9876237624	0.0888436269
845	0.9876237624	0.0882831189
850	0.9900744417	0.08779849416
855	0.9900744417	0.08727158977
860	0.9900744417	0.08674845109
865	0.9900744417	0.08626762436
870	0.9900744417	0.08572836534
875	0.9900744417	0.08518980164
880	0.9900744417	0.08462688563
885	0.9900744417	0.08413142361
890	0.9900744417	0.0836684212
895	0.9900744417	0.0831715872
900	0.9925373134	0.08265615116
905	0.9925373134	0.08218951895
910	0.9925373134	0.08167512842
915	0.9925373134	0.08117051939
920	0.9925373134	0.08074295876
925	0.9925373134	0.08037858341
930	0.9925373134	0.07989378114
935	0.9925373134	0.07942938159
940	0.9925373134	0.07894246825
945	0.9925373134	0.0784986669
950	0.9925373134	0.07809828882
955	0.9925373134	0.07765753272
960	0.9925373134	0.0771784813
965	0.9925373134	0.07671299088
970	0.9925373134	0.07624151469
975	0.9925373134	0.07578802109
980	0.9925373134	0.07537269124
985	0.9925373134	0.07489243508
990	0.9925373134	0.07446561964
995	0.9925373134	0.07407207544
999	0.9925373134	0.07375002825
